"","id","hrs1","marital","childs","age","educ","sex","race","income","rincome","income91","partyid","polviews","libath","colrac","colmil","colhomo","cappun","relig","attend","reliten","bible","health","class","abdefect","abnomore","abhlth","abpoor","abrape","absingle","abany","chldidel","homosex","xmovie","fear","fefam","eqincome","govtpow","aidold","aidunemp","aidcol","aidhouse","racseg","pornlaw"
"287",830,"50",3,2,48,18,2,1,12,"12",19,6,5,".",".",".",".",2,2,7,1,"2",".",3,".",".",".",".",".",".",".","2",".","2",".","3","4","3","2","3","2","3",".","1"
"288",834,"63",3,0,23,14,2,1,11,"11",14,2,4,"2","4","4","4",1,1,0,2,"2","2",3,"1","2","1","2","1","2","1","3","4",".","2","4",".",".",".",".",".",".","4","."
"289",835,"37",3,2,39,16,2,1,13,"13",22,2,6,"8","5","5","4",1,1,7,1,".","1",3,"2","2","1","2","1","2","2",".","1","2","1","1",".",".",".",".",".",".","4","1"
"290",836,"38",3,2,61,16,1,1,12,"12",20,4,5,"2","4","4","4",1,2,3,2,".","2",3,"1","2","1","2","1","2","2",".","2","2","2",".","4","1","4","4","2","4",".","2"
"291",837,"40",1,2,51,12,2,1,12,"12",20,1,4,"2","9","5","4",1,1,7,3,"2","2",2,"1","2","1","1","1","9","2","2","9",".","1","3","5","3","2","2","2","2",".","."
"292",845,"40",1,1,35,14,2,1,12,"12",17,2,3,".",".",".",".",1,2,3,2,"2","2",2,".",".",".",".",".",".",".","2",".","2",".","3",".",".",".",".",".",".",".","1"
"293",849,"20",5,0,22,16,1,1,9,"9",9,2,2,".",".",".",".",1,1,5,1,"2","1",2,".",".",".",".",".",".",".","0",".","2",".","3",".",".",".",".",".",".",".","2"
"294",850,"20",5,0,26,20,1,1,9,"9",10,2,2,".",".",".",".",2,5,0,1,"3",".",1,".",".",".",".",".",".",".","2",".","1",".","2","3","9","9","9","9","9",".","2"
"295",857,"40",5,9,59,13,1,1,12,"13",15,5,4,".",".",".",".",1,1,2,2,"2",".",2,".",".",".",".",".",".",".","8",".","1",".","3","2","3","2","2","2","2",".","2"
"296",859,"40",1,2,46,12,2,1,12,"8",20,1,4,"2","4","5","4",1,5,0,3,".","1",3,"2","2","2","2","2","2","2",".","1","2","1","2",".",".",".",".",".",".","4","1"
"297",861,"40",4,3,38,15,1,1,12,"12",18,5,5,"2","4","4","4",1,1,4,2,"3","2",3,"1","1","1","1","1","1","1","2","2",".","2","4","4","2","2","3","2","3",".","."
"298",862,"65",2,2,45,12,2,1,99,"13",99,3,4,".",".",".",".",1,1,7,1,"1",".",2,".",".",".",".",".",".",".","8",".","2",".","4",".",".",".",".",".",".",".","1"
"299",864,"40",5,0,49,16,2,1,12,"12",18,6,6,"1","5","5","5",2,2,8,1,"2","1",3,"2","2","2","2","2","2","2","4","1",".","1","2","5","1","2","2","2","2",".","."
"300",868,"44",1,0,48,17,2,1,12,"11",20,5,5,"2","4","5","4",1,1,9,9,"2","2",3,"1","2","1","2","1","2","2","3","1",".","2","4",".",".",".",".",".",".","4","."
"301",869,"50",3,4,53,13,2,1,12,".",19,3,3,".",".",".",".",1,2,3,2,"2",".",3,".",".",".",".",".",".",".","4",".","2",".","2","4","2","1","2","3","3",".","1"
"302",873,"72",1,2,37,18,1,1,12,"11",21,6,6,".",".",".",".",1,2,3,2,"2",".",3,".",".",".",".",".",".",".","4",".","2",".","8","5","1","4","4","2","3",".","2"
"303",874,"40",1,2,44,15,2,1,12,"12",20,0,2,"2","5","5","4",2,2,8,1,"2","1",3,"2","2","2","2","2","2","2","8","1",".","2","3",".",".",".",".",".",".","4","."
"304",876,"55",1,4,49,17,1,1,12,"12",20,3,8,"2","4","4","4",1,1,9,9,".","2",2,"1","1","1","2","1","2","1",".","1","2","2","3",".",".",".",".",".",".","4","2"
"305",878,"40",5,1,23,14,2,1,11,"11",14,1,2,".",".",".",".",1,2,5,3,"2","2",3,".",".",".",".",".",".",".","2",".","2",".","3",".",".",".",".",".",".",".","1"
"306",880,"45",5,1,23,13,2,1,9,"9",10,3,2,"2","5","5","4",2,1,2,9,"2","2",2,"1","1","1","1","1","1","1","3","4",".","1","3","3","4","1","2","1","2",".","."
"307",881,"17",5,1,23,13,2,3,8,"8",8,1,2,".",".",".",".",8,1,8,3,"1",".",2,".",".",".",".",".",".",".","4",".","2",".","2","2","2","1","3","1","8",".","2"
"308",884,"15",5,0,22,15,1,1,4,"4",4,5,5,"2","5","4","4",1,2,1,2,"2","2",3,"2","2","1","2","1","2","2","2","1",".","1","3",".",".",".",".",".",".","4","."
"309",888,"50",5,0,24,16,2,1,11,"11",13,5,2,"2","5","4","4",1,3,4,1,"2","1",3,"1","1","1","1","1","1","1","3","4",".","2","4","4","2","2","4","1","3",".","."
"310",889,"30",5,0,27,12,1,1,11,"11",14,2,4,"2","5","5","5",1,1,2,2,".","2",3,"1","2","1","2","1","2","1",".","1","1","2",".","2","2","3","3","2","2",".","2"
"311",892,"20",5,0,20,12,1,1,12,"1",15,4,4,".",".",".",".",1,2,7,1,"2","2",2,".",".",".",".",".",".",".","2",".","2",".","3",".",".",".",".",".",".",".","2"
"312",895,"25",5,0,25,17,2,1,12,"9",17,1,4,"2","4","4","4",2,5,0,2,"2","1",3,"1","1","1","1","1","1","1","2","1",".","1","2","2","3","2","3","1","1",".","."
"313",898,"40",1,1,31,13,1,1,12,"11",17,4,5,"1","4","4","4",1,1,5,2,".","2",2,"1","1","1","1","1","1","1",".","1","2","1",".","2","1","2","3","2","2",".","2"
"314",911,".",1,3,51,14,2,1,12,"9",18,5,5,"2","4","4","4",1,2,4,3,".","2",3,"1","1","1","1","1","1","1",".","8","2","2",".","4","3","2","2","2","3",".","2"
"315",914,"75",3,3,54,20,1,1,12,"12",16,1,2,"2","4","4","4",2,1,3,2,"9","3",3,"1","1","1","1","1","1","1","2","3",".","2","3",".",".",".",".",".",".","4","."
"316",915,"15",3,2,46,12,2,3,13,"13",22,4,6,".",".",".",".",1,5,1,2,"8","3",2,".",".",".",".",".",".",".","2",".","2",".","2",".",".",".",".",".",".",".","1"
"317",917,"45",1,2,34,15,1,3,12,"12",18,1,5,"2","5","5","4",1,1,3,2,"1","2",3,"1","1","1","2","1","1","1","2","1",".","2","3",".",".",".",".",".",".","4","."
"318",919,"50",1,0,50,18,1,1,12,"12",21,4,5,"2","8","5","5",1,1,3,3,".","2",4,"1","1","1","1","1","1","1",".","4","1","2",".","3","3","8","3","8","8",".","2"
"319",920,".",1,1,36,18,2,1,12,"99",21,0,3,"2","8","4","4",2,1,2,2,"2","1",4,"1","1","1","1","1","1","1","2","4",".","1","3","5","3","1","3","1","2",".","."
"320",921,"40",1,0,38,20,1,1,12,"12",21,6,6,"2","4","5","4",1,1,2,2,"2","1",4,"8","8","8","8","8","8","8","2","8",".","2","8","4","2","1","4","3","3",".","."
"321",922,"60",1,2,36,20,1,1,12,"12",21,0,2,".",".",".",".",8,3,3,3,"3","1",3,".",".",".",".",".",".",".","2",".","2",".","3",".",".",".",".",".",".",".","2"
"322",923,"40",1,1,49,18,2,1,13,"13",22,6,7,"2","4","4","4",1,2,7,1,".","2",3,"2","2","2","2","2","2","2",".","1","1","1",".","5","1","2","3","2","3",".","2"
"323",927,"36",5,1,22,12,2,2,12,"9",16,1,8,"2","5","5","4",1,1,2,2,".","1",2,"1","1","1","1","1","2","1",".","4","2","2","2",".",".",".",".",".",".","4","2"
"324",932,".",5,3,26,10,2,2,7,".",7,1,5,".",".",".",".",2,1,8,3,"2","2",3,".",".",".",".",".",".",".","3",".","1",".","2",".",".",".",".",".",".",".","2"
"325",933,"40",5,3,24,10,2,2,8,"8",8,3,8,"8","4","4","4",8,4,0,4,"3","2",2,"1","2","1","1","1","2","2","9","4",".","2","2",".",".",".",".",".",".","3","."
"326",935,"12",5,0,27,14,2,1,12,"7",17,1,8,"1","5","5","4",1,1,3,9,"2","2",2,"8","2","8","2","8","2","2","4","8",".","1","3",".",".",".",".",".",".","3","."
"327",943,"40",1,1,46,18,1,2,12,"12",21,5,4,"2","5","5","4",1,1,1,2,"8","3",3,"1","1","1","1","1","1","1","2","2",".","2","2","5","3","2","4","2","2",".","."
"328",945,"45",1,0,28,18,1,1,12,"12",21,6,6,".",".",".",".",1,2,3,2,"2",".",3,".",".",".",".",".",".",".","2",".","2",".","3","5","1","4","4","3","4",".","2"
"329",948,"40",1,2,51,15,1,1,12,"12",21,2,1,"2","4","4","4",1,5,0,1,".","2",2,"1","1","1","1","1","1","1",".","3","1","2","3",".",".",".",".",".",".","4","2"
"330",949,"45",3,0,37,12,1,1,10,"10",12,7,8,".",".",".",".",1,1,0,2,"3","2",2,".",".",".",".",".",".",".","8",".","2",".","3",".",".",".",".",".",".",".","2"
"331",956,"10",1,5,73,13,2,1,13,"13",22,5,4,"1","4","5","4",1,2,7,1,"2","1",9,"1","1","1","1","1","1","2","3","1",".","2","3",".",".",".",".",".",".","8","."
"332",958,"19",1,3,37,12,2,1,11,"8",13,1,4,"2","5","4","4",1,2,7,1,"1","2",2,"1","1","1","1","1","1","1","3","2",".","1","3","3","3","2","2","2","3",".","."
"333",959,"32",2,0,63,12,1,1,9,"9",10,2,4,"2","5","5","5",1,4,9,4,"2","3",2,"1","2","1","2","1","2","2","3","1",".","2","2",".",".",".",".",".",".","3","."
